year,country_origin_id,import_val,import_val_pct
2012,DEU,5057795854.35,9.9
2012,DNK,1651,0.0000032
2012,ESP,231281925.67,0.45
2012,EST,415291,0.00081
2012,FIN,63706543.19,0.12
2012,FRA,203407914.08,0.40
2012,GBR,73416513.02,0.14
2012,GRC,3280941,0.0064
2012,HUN,36172000,0.071
2012,IRL,5484751,0.011
2012,ITA,7603842956.11,15
2012,MDA,1443095,0.0028
2012,NLD,884708.04,0.0017
2012,NOR,282788761,0.55
2012,POL,32952251,0.064
2012,PRT,744839,0.0015
2012,RUS,2154251996,4.2
2012,SWE,570868820.85,1.1
2012,UKR,708684.2,0.0014
2012,CAN,261972005,0.51
2012,GRL,12301095,0.024
2012,MEX,214262262,0.42
2012,USA,13298514385.7,26
2012,AUS,207182068,0.40
2012,NZL,2025,0.0000040
2012,ARG,491862734,0.96
2012,BOL,82351755,0.16
2012,BRA,878263273,1.7
2012,CHL,816930454,1.6
2012,COL,682003448,1.3
2012,ECU,74592422,0.15
2012,PER,5001171844,9.8
2012,PRY,926732,0.0018
2012,URY,104885023,0.20
2011,BFA,1547214072,3.9
2011,CIV,159854557,0.41
2011,COD,1298599,0.0033
2011,DZA,882773,0.0022
2011,EGY,233249099,0.59
2011,ETH,124618089,0.32
2011,GHA,20527878.68,0.052
2011,MAR,31833660,0.081
2011,MLI,277090192,0.71
2011,MRT,330592537,0.84
2011,MUS,156015,0.00040
2011,SEN,208508497,0.53
2011,SLE,158794,0.00040
2011,TGO,26647573,0.068
2011,TZA,882066522,2.2
2011,HKG,485586625,1.2
2011,ISR,8329211,0.021
2011,JOR,78071155,0.20
2011,JPN,436392222.4,1.1
2011,KAZ,982560984.88,2.5
2011,KGZ,867505272,2.2
2011,KOR,8946656,0.023
2011,LBN,498605442,1.3
2011,PHL,178306229,0.45
2011,SGP,277255.99,0.00071
2011,THA,3720443912,9.5
2011,TUR,465085450,1.2
2011,VNM,58785275,0.15
2011,XXB,215597,0.00055
2011,AND,45295,0.00012
2011,AUT,30845883.03,0.079
2011,BGR,6605665,0.017
2011,BLX,582850539,1.5
2011,CZE,18657013,0.048
2011,DEU,5050583829.56,13
2011,ESP,22581959.57,0.058
2011,EST,2065107,0.0053
2011,FIN,235752122.58,0.60
2011,FRA,428590067.75,1.1
2011,GBR,220875,0.00056
2011,GRC,331793,0.00085
2011,HUN,27513000,0.070
2011,ITA,5960885130.29,15
2011,MDA,3838106,0.0098
2011,MLT,32902,0.000084
2011,NOR,252797457,0.64
2011,PRT,1728305,0.0044
2011,SWE,178239340.28,0.45
2011,UKR,2855161,0.0073
2011,ABW,425411,0.0011
2011,CAN,471602251,1.2
2011,GRL,4613933,0.012
2011,MEX,598719927,1.5
2011,PAN,11471228,0.029
2011,USA,5158905260.19,13
2011,AUS,161057.5,0.00041
2011,ARG,422767095,1.1
2011,BOL,87156114,0.22
2011,BRA,700894733,1.8
2011,CHL,542937192,1.4
2011,COL,913399781,2.3
2011,ECU,64243991,0.16
2011,PER,5728258891,15
2011,PRY,1467797,0.0037
2011,URY,87202035,0.22
2011,VEN,11007207,0.028
2010,BFA,726523861,2.5
2010,CAF,299086,0.0010
2010,CIV,164342081,0.56
2010,DZA,8187608,0.028
2010,EGY,371865218,1.3
2010,ETH,115037569,0.39
2010,GHA,211997272,0.72
2010,MAR,63880515,0.22
2010,MLI,237104082,0.80
2010,MRT,131510334,0.44
2010,MUS,24626,0.000083
2010,NER,75139953,0.25
2010,SEN,153947753,0.52
2010,SLE,65109,0.00022
2010,TGO,12859485,0.043
2010,TZA,551452014,1.9
2010,ARE,104452,0.00035
2010,HKG,564995316,1.9
2010,ISR,2759630,0.0093
2010,JOR,89463327,0.30
2010,JPN,564895411.59,1.9
2010,KAZ,832662782,2.8
2010,KGZ,386258949,1.3
2010,LBN,486712317,1.6
2010,PHL,33924698,0.11
2010,SGP,32384772.77,0.11
2010,THA,3299695917,11
2010,TUR,1256228365,4.2
2010,VNM,31066329,0.10
2010,AUT,26409168.38,0.089
2010,BGR,6440245,0.022
2010,BLX,1382360.03,0.0047
2010,CZE,19274810,0.065
2010,DEU,3692624170.91,12
2010,ESP,27209703.39,0.092
2010,EST,7668340,0.026
2010,FIN,156573364.02,0.53
2010,FRA,316114514.62,1.1
2010,GBR,6765398,0.023
2010,GRC,316211,0.0011
2010,HUN,13909000,0.047
2010,ITA,2900846454.9,9.8
2010,MLT,4596389,0.016
2010,NOR,84931231,0.29
2010,POL,16284092,0.055
2010,PRT,61601.97,0.00021
2010,SRB,482962,0.0016
2010,SWE,60422306.91,0.20
2010,UKR,1011491.37,0.0034
2010,CAN,566599915,1.9
2010,GRL,57421,0.00019
2010,MEX,505376390,1.7
2010,PAN,9222198,0.031
2010,USA,4275747645.78,14
2010,AUS,948287.56,0.0032
2010,ARG,922442631,3.1
2010,BOL,92450917,0.31
2010,BRA,536000611,1.8
2010,CHL,370112927,1.2
2010,COL,620917432,2.1
2010,ECU,51847588,0.18
2010,PER,3809014912,13
2010,PRY,208099.02,0.00070
2010,URY,70426648,0.24
2010,VEN,29421384,0.099
2009,BFA,372133056,1.4
2009,CIV,210555119,0.78
2009,CMR,11704,0.000043
2009,DZA,26399643,0.098
2009,EGY,707759359,2.6
2009,ETH,92540306,0.34
2009,GHA,503863679,1.9
2009,MAR,39153290,0.15
2009,MLI,127057,0.00047
2009,MRT,167162400,0.62
2009,MUS,93412.03,0.00035
2009,NER,44140890,0.16
2009,SEN,151531254,0.56
2009,SLE,25596,0.000095
2009,TGO,3995015,0.015
2009,TZA,499315186,1.9
2009,HKG,1190237533,4.4
2009,IDN,46452481,0.17
2009,ISR,245797,0.00091
2009,JOR,110577264,0.41
2009,JPN,408270852.99,1.5
2009,KAZ,674966809,2.5
2009,KGZ,442982724,1.6
2009,KOR,112054410,0.42
2009,LBN,767649814,2.9
2009,LKA,3813821,0.014
2009,OMN,1001007,0.0037
2009,PHL,19713011,0.073
2009,SGP,34866369.17,0.13
2009,THA,2482927076,9.2
2009,TUR,3331460011,12
2009,VNM,729261312,2.7
2009,XXB,30652,0.00011
2009,AUT,33064918.76,0.12
2009,BGR,6324538,0.023
2009,BLX,4201630,0.016
2009,CZE,11724249,0.044
2009,DEU,1541978822.82,5.7
2009,ESP,1277944.54,0.0047
2009,FIN,64512429,0.24
2009,FRA,58440138.2,0.22
2009,GBR,31576500,0.12
2009,GRC,3034708,0.011
2009,ITA,1878852517.99,7.0
2009,MDA,242102,0.00090
2009,MLT,322538,0.0012
2009,NLD,5794,0.000022
2009,NOR,60434532.92,0.22
2009,POL,24316222,0.090
2009,PRT,1326538,0.0049
2009,SRB,2839541,0.011
2009,SWE,46336856.85,0.17
2009,ANT,1994950,0.0074
2009,CAN,258502021,0.96
2009,MEX,260734780,0.97
2009,PAN,2938879,0.011
2009,USA,3156335468.46,12
2009,AUS,735876.44,0.0027
2009,NZL,206506,0.00077
2009,ARG,841096687,3.1
2009,BOL,111090821,0.41
2009,BRA,489295034,1.8
2009,CHL,270265282,1.0
2009,COL,557689907,2.1
2009,ECU,35235533,0.13
2009,PER,3921300476,15
2009,PRY,1068966,0.0040
2009,URY,59678793,0.22
2008,BFA,106140610,0.46
2008,CAF,65157,0.00028
2008,CIV,71738772,0.31
2008,DZA,15760631,0.068
2008,EGY,14847076,0.064
2008,ETH,79897615,0.35
2008,GHA,84422233,0.36
2008,GIN,181711371,0.79
2008,MAR,18798822,0.081
2008,MLI,47265894,0.20
2008,MRT,120801300,0.52
2008,MUS,91504,0.00040
2008,NER,39423309,0.17
2008,SLE,69373,0.00030
2008,TGO,778828,0.0034
2008,TUN,7857,0.000034
2008,TZA,543659644,2.3
2008,ARE,919807553,4.0
2008,HKG,479827834,2.1
2008,ISR,472225,0.0020
2008,JOR,52979836,0.23
2008,JPN,163293703.16,0.71
2008,KAZ,484025108,2.1
2008,KGZ,436483255,1.9
2008,KOR,15848160,0.068
2008,LBN,318915658,1.4
2008,LKA,166601,0.00072
2008,MYS,21253.82,0.000092
2008,OMN,1501653,0.0065
2008,PHL,18322540,0.079
2008,SGP,44754975.46,0.19
2008,THA,1014533752,4.4
2008,TUR,2207107422,9.5
2008,VNM,150746025,0.65
2008,AUT,10575492.56,0.046
2008,BGR,5151415,0.022
2008,BLX,1514324.38,0.0065
2008,CZE,6694509,0.029
2008,DEU,83676283.42,0.36
2008,ESP,38111.13,0.00016
2008,FRA,53741482.98,0.23
2008,GBR,4132687,0.018
2008,IRL,130011,0.00056
2008,ITA,571330620.61,2.5
2008,MLT,86499,0.00037
2008,NLD,256427.63,0.0011
2008,NOR,43185140,0.19
2008,POL,109898.19,0.00047
2008,SRB,1536977,0.0066
2008,SWE,120877588,0.52
2008,CAN,447549692,1.9
2008,CRI,19144,0.000083
2008,MEX,405043295,1.8
2008,USA,8509951105.27,37
2008,AUS,174623071,0.75
2008,ARG,647862511,2.8
2008,BOL,140951158,0.61
2008,BRA,156167712,0.67
2008,CHL,132851113,0.57
2008,COL,406093966.14,1.8
2008,ECU,30513652,0.13
2008,PER,3385338824,15
2008,URY,68880734,0.30
2008,VEN,96311483,0.42
